Acad Group,Class ID,Subject,Subject Code,Course Nbr,Section,Course Title,Day,Time,Instructor,Credits
Architecture & Urban Planning,10009,Architecture,ARCH, 201,001,Basic Drawing,M W,830-1130AM,"Harris, David, Arthur",4.00
Architecture & Urban Planning,10010,Architecture,ARCH, 202,001,Graphic Commun,T TH,10-1PM,Sturt,4.00
Architecture & Urban Planning,29211,Architecture,ARCH, 202,002,Graphic Commun,M W,10-1PM,Gilpin,4.00
Architecture & Urban Planning,32120,Architecture,ARCH, 209,002,Special Topics Arch,F,9-1PM,"Zimmerman, Trandafirescu, Wang",3.00-4.00
Architecture & Urban Planning,10031,Architecture,ARCH, 211,001,Digital Drawing,T,130-230PM,AbuSeir,3.00
Architecture & Urban Planning,22787,Architecture,ARCH, 211,002,Digital Drawing,T,230-430PM,AbuSeir,3.00
Architecture & Urban Planning,24097,Architecture,ARCH, 211,003,Digital Drawing,TH,1230-130PM,Comerci,3.00
Architecture & Urban Planning,24098,Architecture,ARCH, 211,004,Digital Drawing,TH,130-330PM,Comerci,3.00
Architecture & Urban Planning,20937,Architecture,ARCH, 218,002,Visual Studies,T TH,1-4PM,Halstead,5.00
Architecture & Urban Planning,36812,Architecture,ARCH, 300,041,Tutorial Stdys Arch,,ARR,Rule,1.00-3.00
Architecture & Urban Planning,10011,Architecture,ARCH, 312,001,Arch Design I,M W F,2-6PM,Harris,6.00
Architecture & Urban Planning,26652,Architecture,ARCH, 312,005,Arch Design I,M W F,2-6PM,Gilpin,6.00
Architecture & Urban Planning,35782,Architecture,ARCH, 312,006,Arch Design I,M W F,2-6PM,Quiring,6.00
Architecture & Urban Planning,10015,Architecture,ARCH, 313,001,History Arch I,M W,10-11AM,Lauritano,3.00
Architecture & Urban Planning,17168,Architecture,ARCH, 313,002,History Arch I,F,10-11AM,Puff,3.00
Architecture & Urban Planning,10016,Architecture,ARCH, 313,003,History Arch I,F,10-11AM,AlBader,3.00
Architecture & Urban Planning,10017,Architecture,ARCH, 313,005,History Arch I,F,11-12PM,Puff,3.00
Architecture & Urban Planning,10018,Architecture,ARCH, 313,006,History Arch I,F,11-12PM,AlBader,3.00
Architecture & Urban Planning,10019,Architecture,ARCH, 314,001,Structures I,M F,11-12PM,von Buelow,3.00
Architecture & Urban Planning,10020,Architecture,ARCH, 314,002,Structures I,W,11-12PM,Nashine,3.00
Architecture & Urban Planning,10025,Architecture,ARCH, 316,001,Design Fund I,T TH,9-10AM,Knoblauch,3.00
Architecture & Urban Planning,10025,Architecture,ARCH, 316,001,Design Fund I,TH,10-11AM,,3.00
Architecture & Urban Planning,10026,Architecture,ARCH, 316,002,Design Fund I,T TH,9-10AM,Robinson,3.00
Architecture & Urban Planning,10026,Architecture,ARCH, 316,002,Design Fund I,TH,10-11AM,,3.00
Architecture & Urban Planning,29706,Architecture,ARCH, 316,004,Design Fund I,T TH,9-10AM,Mufreh,3.00
Architecture & Urban Planning,29706,Architecture,ARCH, 316,004,Design Fund I,TH,10-11AM,,3.00
Architecture & Urban Planning,10027,Architecture,ARCH, 317,001,Construction,TH,1-3PM,Borum,3.00
Architecture & Urban Planning,10027,Architecture,ARCH, 317,001,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,10028,Architecture,ARCH, 317,002,Construction,TH,1-3PM,Rule,3.00
Architecture & Urban Planning,10028,Architecture,ARCH, 317,002,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,25372,Architecture,ARCH, 317,004,Construction,TH,1-3PM,Adkins,3.00
Architecture & Urban Planning,25372,Architecture,ARCH, 317,004,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36901,Architecture,ARCH, 317,005,Construction,TH,1-3PM,Wigger,3.00
Architecture & Urban Planning,36901,Architecture,ARCH, 317,005,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36902,Architecture,ARCH, 317,006,Construction,TH,1-3PM,Lomeli,3.00
Architecture & Urban Planning,36902,Architecture,ARCH, 317,006,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,26375,Architecture,ARCH, 357,001,"Arch, Sustainability",T TH,9-10AM,Kelbaugh,3.00
Architecture & Urban Planning,26376,Architecture,ARCH, 357,002,"Arch, Sustainability",W,10-11AM,Gunden,3.00
Architecture & Urban Planning,26377,Architecture,ARCH, 357,003,"Arch, Sustainability",W,10-11AM,McKee,3.00
Architecture & Urban Planning,26378,Architecture,ARCH, 357,004,"Arch, Sustainability",W,10-11AM,Erfani,3.00
Architecture & Urban Planning,26379,Architecture,ARCH, 357,005,"Arch, Sustainability",W,12-1PM,Munoz Abarca,3.00
Architecture & Urban Planning,26380,Architecture,ARCH, 357,006,"Arch, Sustainability",W,12-1PM,Erfani,3.00
Architecture & Urban Planning,26381,Architecture,ARCH, 357,007,"Arch, Sustainability",W,12-1PM,Kim,3.00
Architecture & Urban Planning,26382,Architecture,ARCH, 357,008,"Arch, Sustainability",W,1-2PM,Westerfield,3.00
Architecture & Urban Planning,26383,Architecture,ARCH, 357,009,"Arch, Sustainability",W,1-2PM,Infanger,3.00
Architecture & Urban Planning,26384,Architecture,ARCH, 357,010,"Arch, Sustainability",W,1-2PM,Kim,3.00
Architecture & Urban Planning,29630,Architecture,ARCH, 357,011,"Arch, Sustainability",W,9-10AM,"Morris, Kelbaugh",3.00
Architecture & Urban Planning,10030,Architecture,ARCH, 400,001,Tutorl Stds in Arch,,ARR,,1.00-3.00
Architecture & Urban Planning,24100,Architecture,ARCH, 409,001,Special Topics Arch,W,6-9PM,Dowdell,3.00
Architecture & Urban Planning,24101,Architecture,ARCH, 409,002,Special Topics Arch,T TH,1-230PM,Meier,3.00
Architecture & Urban Planning,26272,Architecture,ARCH, 409,003,Special Topics Arch,TH,9-12PM,Moran,3.00
Architecture & Urban Planning,15902,Architecture,ARCH, 412,001,Arch Design I,M W F,2-6PM,Fure,6.00
Architecture & Urban Planning,22087,Architecture,ARCH, 412,002,Arch Design I,M W F,2-6PM,Abrons,6.00
Architecture & Urban Planning,22088,Architecture,ARCH, 412,003,Arch Design I,M W F,2-6PM,Halstead,6.00
Architecture & Urban Planning,35779,Architecture,ARCH, 412,004,Arch Design I,M W F,2-6PM,Comerci,6.00
Architecture & Urban Planning,16857,Architecture,ARCH, 413,001,History,T TH,1030-12PM,"Thomson, Taskin",3.00
Architecture & Urban Planning,22716,Architecture,ARCH, 417,001,Construction,TH,1-3PM,Borum,3.00
Architecture & Urban Planning,22716,Architecture,ARCH, 417,001,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,22717,Architecture,ARCH, 417,002,Construction,TH,1-3PM,Rule,3.00
Architecture & Urban Planning,22717,Architecture,ARCH, 417,002,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36548,Architecture,ARCH, 417,003,Construction,TH,1-3PM,Vliet,3.00
Architecture & Urban Planning,36548,Architecture,ARCH, 417,003,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36903,Architecture,ARCH, 417,004,Construction,TH,1-3PM,Adkins,3.00
Architecture & Urban Planning,36903,Architecture,ARCH, 417,004,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36904,Architecture,ARCH, 417,005,Construction,TH,1-3PM,Wigger,3.00
Architecture & Urban Planning,36904,Architecture,ARCH, 417,005,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,36905,Architecture,ARCH, 417,006,Construction,TH,1-3PM,Lomeli,3.00
Architecture & Urban Planning,36905,Architecture,ARCH, 417,006,Construction,TH,3-6PM,,3.00
Architecture & Urban Planning,24102,Architecture,ARCH, 421,001,Geometric Modeling,M,9-12PM,Meier,3.00
Architecture & Urban Planning,10032,Architecture,ARCH, 423,001,Int U P&Env,T TH,10-11AM,D'Anieri,3.00
Architecture & Urban Planning,10033,Architecture,ARCH, 423,002,Int U P&Env,TH,12-1PM,Wunsch,3.00
Architecture & Urban Planning,10034,Architecture,ARCH, 423,003,Int U P&Env,F,11-12PM,Swinton,3.00
Architecture & Urban Planning,10035,Architecture,ARCH, 423,004,Int U P&Env,TH,12-1PM,Sanifu,3.00
Architecture & Urban Planning,10036,Architecture,ARCH, 432,001,Arch Des III,M W F,2-6PM,Roddier,6.00
Architecture & Urban Planning,35808,Architecture,ARCH, 432,005,Arch Des III,M W F,2-6PM,Utting,6.00
Architecture & Urban Planning,20087,Architecture,ARCH, 466,001,Dimensions,T,7-9PM,Unverzagt,1.00
Architecture & Urban Planning,33278,Architecture,ARCH, 503,001,Spec Topc Arch Hist,TH,1-4PM,Fishman,3.00
Architecture & Urban Planning,18955,Architecture,ARCH, 506,001,Spec Topics Des Fund,M,2-530PM,Strickland,3.00
Architecture & Urban Planning,20146,Architecture,ARCH, 506,002,Spec Topics Des Fund,M,2-5PM,Groat,3.00
Architecture & Urban Planning,31547,Architecture,ARCH, 506,003,Spec Topics Des Fund,T,9-12PM,Wilkins,3.00
Architecture & Urban Planning,18197,Architecture,ARCH, 509,002,Experimental Course,TH,9-12PM,Moran,3.00
Architecture & Urban Planning,20884,Architecture,ARCH, 509,003,Experimental Course,W,230-530PM,Strickland,3.00
Architecture & Urban Planning,24103,Architecture,ARCH, 509,004,Experimental Course,M,2-5PM,Newell,3.00
Architecture & Urban Planning,20885,Architecture,ARCH, 509,005,Experimental Course,F,9-12PM,Roddier,3.00
Architecture & Urban Planning,31549,Architecture,ARCH, 509,006,Experimental Course,F,9-12PM,McCullough,3.00
Architecture & Urban Planning,20886,Architecture,ARCH, 509,007,Experimental Course,M,2-5PM,Mcgee,3.00
Architecture & Urban Planning,24104,Architecture,ARCH, 509,008,Experimental Course,M,9-12PM,Vance,3.00
Architecture & Urban Planning,20887,Architecture,ARCH, 509,009,Experimental Course,TH,7-10PM,Chaffers,3.00
Architecture & Urban Planning,26485,Architecture,ARCH, 509,010,Experimental Course,M,9-12PM,Thomson,3.00
Architecture & Urban Planning,24277,Architecture,ARCH, 509,011,Experimental Course,W,6-9PM,Dowdell,3.00
Architecture & Urban Planning,26486,Architecture,ARCH, 509,013,Experimental Course,F,9-12PM,Manninger,3.00
Architecture & Urban Planning,29020,Architecture,ARCH, 514,001,Frame Structures,T TH,1030-12PM,von Buelow,3.00
Architecture & Urban Planning,25396,Architecture,ARCH, 515,001,Sustainable Systems,TH,10-12PM,"Maigret, Miller",3.00
